Video Title,Upload Date,, Likes , Comments 
"Drake and The Weeknd ""Would You Like A Tour"" OVO & XO",30-Mar-14,10:26 PM," 8,632 ", 402 
Kiss Land - Melrose Ave. Los Angeles,17-Sep-13,9:44 PM," 4,085 ", 205 
The Restaurant,15-Sep-13,10:50 PM," 3,883 ", 207 
The Flower Shop,14-Sep-13,5:12 PM," 6,273 ", 273 
The Airport,14-Sep-13,12:55 AM," 7,707 ", 519 
The Weeknd - Live For feat. Drake (Official Video),11-Sep-13,7:50 PM," 25,462 "," 1,494 "
The Fall Tour - 1st Show,9-Sep-13,7:25 PM," 3,168 ", 316 
"Kiss Land - Wicker Park, Chicago",8-Sep-13,7:00 PM," 4,819 ", 269 
Kiss Land Fall Tour 2013,7-Sep-13,2:12 AM," 4,465 ", 312 
Roman Polanski,31-Aug-13,3:55 AM," 6,014 ", 567 
The Weeknd - Love In The Sky,31-Jul-13,12:59 AM," 40,000 "," 2,570 "
The Weeknd - Kiss Land (Official Video),25-Jun-13,4:41 PM," 59,193 "," 3,828 "
The Weeknd - Kiss Land,16-May-13,11:50 PM," 75,310 "," 8,050 "
John Carpenter,13-May-13,9:59 PM," 7,736 ", 777 
The Weeknd - The Zone feat. Drake (Official Video),8-Nov-12,6:50 AM," 36,459 "," 3,123 "
The Weeknd Trilogy - November 13,29-Oct-12,6:39 PM," 7,463 ", 837 
The Weeknd Trilogy - November 13,22-Oct-12,10:28 PM," 7,697 "," 1,065 "
The Weeknd Trilogy - November 13,9-Oct-12,11:35 PM," 9,861 "," 1,545 "
The Weeknd x Flying Lotus @ XOYO,9-Jul-12,12:12 PM," 2,636 ", 205 
The Weeknd x Club Paradise,10-May-12,6:29 AM," 6,857 ", 883 
The Weeknd - The Knowing (Official Video),24-Feb-12,9:13 AM," 85,072 "," 7,484 "
The Weeknd - The Knowing (Official Video),24-Feb-12,9:13 AM," 85,072 "," 7,484 "
The Weeknd - Echoes Of Silence,18-Jan-12,2:41 AM," 54,706 "," 3,023 "
The Weeknd - Next,12-Jan-12,1:44 AM," 200,045 "," 7,197 "
The Weeknd - The Fall,9-Jan-12,6:44 AM," 42,140 "," 2,708 "
The Weeknd - Same Old Song,6-Jan-12,6:56 AM," 93,360 "," 4,197 "
The Weeknd - Initiation,3-Jan-12,1:45 AM," 60,842 "," 4,071 "
The Weeknd - XO / The Host,31-Dec-11,7:26 AM," 63,104 "," 3,920 "
The Weeknd - Outside,28-Dec-11,4:32 AM," 67,715 "," 3,634 "
The Weeknd - Montreal,25-Dec-11,7:39 AM," 90,743 "," 5,178 "
The Weeknd - D.D.,22-Dec-11,10:35 PM," 86,031 "," 4,847 "
The Weeknd - The Zone (feat. Drake),20-Aug-11,10:15 PM," 133,344 "," 7,794 "
The Weeknd - Gone,20-Aug-11,4:26 AM," 76,635 "," 4,445 "
The Weeknd - The Birds (Part 2),19-Aug-11,9:26 PM," 63,278 "," 4,346 "
The Weeknd - Thursday,19-Aug-11,8:27 PM," 45,530 "," 3,611 "
The Weeknd - Lonely Star,19-Aug-11,3:07 PM," 56,979 "," 3,671 "
The Weeknd - Life Of The Party,19-Aug-11,6:24 PM," 25,758 "," 1,564 "
The Weeknd - Heaven Or Las Vegas,19-Aug-11,11:58 PM," 17,875 "," 1,483 "
The Weeknd - Trust Issues (Remix),25-Jun-11,4:20 AM," 403,993 "," 11,007 "
The Weeknd - The Birds (Part 1),16-Jun-11,1:47 AM," 81,511 "," 3,866 "
The Weeknd - Rolling Stone,25-May-11,9:02 PM," 53,313 "," 3,396 "
The Weeknd - Coming Down,24-Mar-11,3:13 AM," 109,293 "," 5,312 "
The Weeknd - The Morning,21-Mar-11,1:50 AM," 339,721 "," 12,244 "
The Weeknd - The Knowing,21-Mar-11,1:51 AM," 67,975 "," 5,001 "
The Weeknd - Loft Music,21-Mar-11,2:43 AM," 106,299 "," 5,660 "
The Weeknd - House Of Balloons / Glass Table Girls,21-Mar-11,1:39 AM," 211,474 "," 11,176 "
The Weeknd - The Party & The After Party,21-Mar-11,3:45 AM," 109,083 "," 6,893 "
The Weeknd - High For This,20-Mar-11,11:55 PM," 450,089 "," 15,901 "
The Weeknd - Wicked Games,5-Mar-11,8:20 PM," 478,800 "," 16,138 "
The Weeknd - What You Need,25-Feb-11,2:57 AM," 270,356 "," 10,875 "
